sample_ID,N,wtN,molsN,C_coll,wtC,molsC,wtCN,CN_ratio,individual,sample_number,tissue
L1,15.1,15.6,6.98E-06,-15.7,44.5,2.32E-05,2.9,3.3,SB Dog,1,Hair
L2,15.6,15.5,5.71E-06,-14.7,44.8,1.92E-05,2.9,3.4,SB Dog,2,Hair
L3,16,15.8,9.12E-06,-14.7,45.5,3.05E-05,2.9,3.3,SB Dog,3,Hair
L4,14.8,15.6,4.57E-06,-15.5,44.7,1.53E-05,2.9,3.3,SB Dog,4,Hair
L5/L6,15.2,15.3,5.96E-06,-15.4,44.2,2.01E-05,2.9,3.4,SB Dog,5,Hair
M1,9.2,15.8,7.30E-06,-20.1,45.6,2.46E-05,2.9,3.4,Mutton,1,Hair
M2,9,15.4,4.88E-06,-19.2,44.7,1.65E-05,2.9,3.4,Mutton,2,Hair
M3,10,16.2,1.11E-05,-18.6,46.8,3.72E-05,2.9,3.4,Mutton,3,Hair
M4,10.4,16.1,1.04E-05,-17.6,46.2,3.46E-05,2.9,3.3,Mutton,4,Hair
M5/M6,9.6,15.5,6.87E-06,-17,44.3,2.28E-05,2.9,3.3,Mutton,5,Hair
M7,9.8,15,6.82E-06,-16.7,43.5,2.30E-05,2.9,3.4,Mutton,6,Hair
SB Dog,16.9,12.43333333,8.07E-06,-14.53333333,33.33333333,2.52E-05,2.7,3.1,SB Dog,,Bone
Mutton bone average,10.66666667,13.26666667,7.73E-06,-18.53333333,36.5,2.48E-05,2.766666667,3.2,Mutton,,Bone
