location,C_coll,C_collSD,N,NSD,n,ref
Keatley Creek,-16.3,0.9,13.8,1.7,6,Barta 2006
Bridge River,-15.4,0.4,14.1,0.5,9,Tifental 2015
Sumas,-14.8,,15.2,,1,Barta 2006
Cathlapotle,-14.5,0.6,16.4,0.8,5,Ames et al. 2015
Namu,-13,0.6,16.4,0.8,14,Cannon et al. 1999
Sliammon,-12.8,0.2,16.3,0.4,2,Zimmerman 2014
Dionisio,-12.7,0.4,15.6,0.5,5,Grier 2006
Gwaii Hannas,-12.2,,17.9,,1,Szpak et al. 2009
Port Hardy,-11.3,,16.1,,1,Barta 2006
Broken Group Islands,-12.14,0.52,16.8,0.46,14,Hillis 2020
Late-Holocene Deer ,-22.7,1.4,3.3,0.9,6,Hillis 2020
